Seed: 1543253954
1 Tree Mutation GA Run, Best Fitness, Generations, Time
1 Tree Mix GA Run, Best Fitness, Generations, Time
0, 255, 49, 0
1, 258, 70, 0
2, 148, 102, 0
3, 218, 99, 0
4, 285, 71, 0
5, 176, 88, 0
6, 268, 58, 0
7, 245, 66, 0
8, 101, 159, 0
9, 150, 127, 0
10, 198, 102, 0
11, 261, 82, 0
12, 279, 42, 0
13, 193, 136, 0
14, 205, 122, 0
15, 189, 118, 0
16, 164, 109, 0
17, 171, 92, 0
18, 142, 192, 0
19, 157, 123, 0
20, 199, 86, 0
21, 193, 132, 0
22, 167, 132, 0
23, 232, 70, 0
24, 128, 156, 0
25, 158, 83, 0
26, 161, 152, 0
27, 204, 135, 0
28, 221, 60, 0
29, 189, 93, 0

3 Tree Mix GA Run, Best Fitness, Generations, Time
0, 209, 104, 0
1, 233, 66, 0
2, 314, 60, 0
3, 273, 61, 0
4, 274, 68, 0
5, 149, 147, 1
6, 198, 97, 0
7, 185, 108, 0
8, 182, 157, 0
9, 126, 147, 0
10, 196, 104, 0
11, 213, 87, 0
12, 320, 51, 0
13, 201, 103, 0
14, 189, 102, 0
15, 139, 152, 0
16, 238, 61, 0
17, 149, 149, 0
18, 136, 157, 0
19, 164, 97, 0
20, 157, 84, 0
21, 212, 78, 0
22, 238, 65, 0
23, 241, 86, 0
24, 291, 53, 0
25, 100, 160, 0
26, 177, 74, 0
27, 172, 120, 0
28, 293, 41, 0
29, 270, 48, 0

5 Tree Mix GA Run, Best Fitness, Generations, Time
0, 296, 30, 0
1, 198, 68, 0
2, 269, 71, 0
3, 214, 93, 0
4, 252, 51, 0
5, 173, 115, 0
6, 238, 76, 1
7, 211, 74, 0
8, 219, 85, 0
9, 175, 135, 0
10, 192, 98, 0
11, 185, 92, 0
12, 205, 81, 0
13, 257, 40, 0
14, 166, 102, 0
15, 204, 132, 0
16, 280, 47, 0
17, 157, 128, 0
18, 204, 116, 0
19, 286, 64, 0
20, 214, 83, 0
21, 275, 35, 0
22, 215, 127, 0
23, 95, 170, 0
24, 151, 87, 0
25, 265, 43, 0
26, 198, 80, 0
27, 128, 135, 0
28, 311, 37, 0
29, 197, 155, 0

ND SA Crossover GA Run, Best Fitness, Generations, Time
0, 311, 28, 0
1, 233, 31, 0
2, 203, 27, 0
3, 249, 28, 0
4, 178, 29, 1
5, 245, 29, 0
6, 254, 33, 0
7, 256, 29, 0
8, 321, 26, 0
9, 293, 27, 0
10, 287, 22, 0
11, 283, 29, 0
12, 270, 23, 0
13, 224, 28, 0
14, 317, 25, 0
15, 242, 28, 0
16, 300, 27, 0
17, 268, 33, 0
18, 277, 29, 0
19, 312, 28, 0
20, 253, 25, 0
21, 315, 28, 1
22, 191, 29, 0
23, 298, 29, 0
24, 249, 29, 0
25, 321, 26, 0
26, 234, 27, 0
27, 265, 29, 0
28, 286, 28, 0
29, 216, 32, 0

ND SR Crossover GA Run, Best Fitness, Generations, Time
0, 294, 36, 0
1, 285, 36, 0
2, 288, 27, 0
3, 320, 35, 0
4, 308, 28, 0
5, 323, 21, 0
6, 292, 53, 1
7, 293, 33, 0
8, 266, 28, 0
9, 323, 23, 0
10, 285, 24, 0
11, 320, 24, 0
12, 248, 59, 0
13, 268, 82, 0
14, 281, 42, 0
15, 308, 25, 0
16, 272, 36, 0
17, 302, 28, 0
18, 277, 43, 1
19, 302, 31, 0
20, 260, 26, 0
21, 281, 70, 0
22, 293, 39, 0
23, 294, 36, 0
24, 283, 37, 0
25, 307, 29, 0
26, 283, 34, 0
27, 282, 37, 0
28, 292, 40, 0
29, 284, 28, 0

ND SRCF Crossover GA Run, Best Fitness, Generations, Time
0, 303, 23, 0
1, 358, 22, 1
2, 341, 21, 0
3, 371, 21, 0
4, 378, 23, 0
5, 350, 25, 0
6, 323, 22, 0
7, 359, 22, 0
8, 296, 21, 0
9, 334, 24, 0
10, 320, 24, 0
11, 377, 21, 0
12, 342, 23, 0
13, 332, 26, 0
14, 384, 23, 0
15, 301, 21, 0
16, 315, 23, 0
17, 299, 24, 0
18, 353, 23, 0
19, 356, 21, 0
20, 383, 24, 0
21, 330, 22, 0
22, 339, 21, 1
23, 356, 22, 0
24, 313, 22, 0
25, 380, 21, 0
26, 401, 24, 0
27, 280, 21, 0
28, 323, 25, 0
29, 338, 22, 0

ND NP Crossover GA Run, Best Fitness, Generations, Time
0, 299, 22, 0
1, 296, 23, 0
2, 302, 27, 0
3, 335, 21, 0
4, 344, 22, 0
5, 327, 24, 0
6, 343, 22, 0
7, 372, 21, 0
8, 343, 21, 0
9, 317, 21, 0
10, 377, 21, 0
11, 332, 23, 0
12, 312, 22, 0
13, 279, 23, 0
14, 327, 22, 1
15, 331, 22, 0
16, 261, 23, 0
17, 354, 24, 0
18, 335, 23, 0
19, 289, 21, 0
20, 306, 23, 0
21, 329, 21, 0
22, 378, 23, 0
23, 319, 21, 0
24, 345, 21, 0
25, 345, 22, 0
26, 355, 22, 0
27, 355, 23, 0
28, 282, 22, 0
29, 373, 23, 0

ND PSR Mutation GA Run, Best Fitness, Generations, Time
0, 136, 85, 0
1, 128, 83, 1
2, 131, 72, 0
3, 73, 175, 0
4, 130, 96, 0
5, 136, 120, 0
6, 129, 101, 1
7, 111, 107, 0
8, 158, 71, 0
9, 127, 75, 0
10, 140, 100, 0
11, 102, 118, 1
12, 157, 70, 0
13, 180, 106, 0
14, 175, 57, 0
15, 151, 78, 0
16, 124, 86, 0
17, 129, 182, 1
18, 149, 81, 0
19, 147, 93, 0
20, 136, 152, 0
21, 96, 131, 0
22, 122, 118, 1
23, 165, 87, 0
24, 105, 142, 0
25, 113, 140, 0
26, 127, 63, 0
27, 93, 127, 1
28, 117, 113, 0
29, 192, 71, 0

ND PSP Mutation GA Run, Best Fitness, Generations, Time
0, 163, 103, 0
1, 144, 76, 0
2, 130, 76, 1
3, 286, 30, 0
4, 187, 61, 0
5, 155, 75, 0
6, 197, 49, 0
7, 172, 62, 0
8, 227, 41, 0
9, 152, 87, 0
10, 147, 86, 0
11, 158, 86, 1
12, 147, 112, 0
13, 149, 104, 0
14, 124, 146, 0
15, 157, 50, 0
16, 129, 104, 1
17, 151, 83, 0
18, 121, 79, 0
19, 159, 94, 0
20, 127, 87, 0
21, 174, 72, 0
22, 168, 36, 0
23, 132, 113, 1
24, 169, 73, 0
25, 150, 60, 0
26, 153, 81, 0
27, 159, 116, 0
28, 153, 115, 0
29, 172, 67, 1

DD SA Crossover GA Run, Best Fitness, Generations, Time
0, 246, 27, 0
1, 172, 31, 0
2, 170, 30, 0
3, 241, 28, 0
4, 204, 31, 0
5, 242, 29, 0
6, 205, 29, 0
7, 252, 27, 0
8, 193, 29, 0
9, 253, 27, 0
10, 209, 28, 0
11, 279, 25, 0
12, 238, 27, 0
13, 212, 28, 0
14, 221, 29, 1
15, 240, 31, 0
16, 220, 30, 0
17, 269, 27, 0
18, 168, 30, 0
19, 227, 30, 0
20, 215, 27, 0
21, 248, 27, 0
22, 220, 33, 0
23, 194, 30, 0
24, 238, 30, 0
25, 178, 28, 0
26, 275, 26, 0
27, 208, 29, 0
28, 224, 27, 0
29, 242, 33, 0

DD SR Crossover GA Run, Best Fitness, Generations, Time
0, 303, 34, 0
1, 240, 58, 1
2, 284, 23, 0
3, 258, 32, 0
4, 131, 86, 0
5, 134, 109, 0
6, 237, 54, 0
7, 285, 25, 0
8, 134, 88, 0
9, 266, 43, 0
10, 152, 92, 1
11, 210, 89, 0
12, 272, 42, 0
13, 229, 26, 0
14, 137, 102, 0
15, 173, 66, 0
16, 122, 89, 0
17, 282, 42, 0
18, 179, 49, 0
19, 147, 97, 1
20, 137, 74, 0
21, 130, 102, 0
22, 107, 101, 0
23, 117, 127, 0
24, 244, 33, 0
25, 169, 80, 1
26, 164, 80, 0
27, 200, 90, 0
28, 131, 116, 0
29, 217, 47, 0

DD SRCF Crossover GA Run, Best Fitness, Generations, Time
0, 372, 21, 0
1, 394, 21, 0
2, 364, 21, 0
3, 326, 21, 0
4, 357, 24, 0
5, 393, 22, 0
6, 329, 28, 1
7, 378, 21, 0
8, 360, 22, 0
9, 315, 25, 0
10, 288, 23, 0
11, 382, 21, 0
12, 358, 25, 0
13, 316, 21, 0
14, 330, 23, 0
15, 363, 24, 0
16, 352, 27, 0
17, 309, 21, 0
18, 388, 23, 0
19, 380, 21, 0
20, 342, 21, 0
21, 392, 21, 0
22, 357, 21, 0
23, 352, 23, 0
24, 338, 24, 0
25, 374, 21, 0
26, 305, 24, 0
27, 357, 23, 0
28, 343, 22, 0
29, 344, 27, 1

DD NP Crossover GA Run, Best Fitness, Generations, Time
0, 328, 24, 0
1, 344, 22, 0
2, 274, 22, 0
3, 283, 22, 0
4, 290, 23, 0
5, 311, 23, 0
6, 277, 24, 0
7, 317, 22, 0
8, 355, 22, 0
9, 370, 22, 0
10, 300, 21, 0
11, 325, 23, 0
12, 342, 23, 0
13, 280, 23, 0
14, 306, 22, 0
15, 370, 23, 0
16, 350, 24, 0
17, 271, 23, 0
18, 259, 22, 0
19, 305, 22, 0
20, 349, 22, 1
21, 337, 21, 0
22, 350, 22, 0
23, 307, 23, 0
24, 368, 21, 0
25, 283, 23, 0
26, 326, 22, 0
27, 306, 23, 0
28, 332, 22, 0
29, 315, 22, 0

DD PSR Mutation GA Run, Best Fitness, Generations, Time
0, 66, 101, 0
1, 76, 58, 0
2, 71, 96, 0
3, 73, 133, 1
4, 87, 76, 0
5, 66, 79, 0
6, 63, 96, 0
7, 75, 97, 0
8, 74, 84, 0
9, 58, 175, 1
10, 81, 124, 0
11, 54, 180, 0
12, 61, 91, 0
13, 71, 96, 1
14, 57, 181, 0
15, 65, 112, 0
16, 103, 100, 0
17, 66, 105, 0
18, 96, 78, 1
19, 68, 114, 0
20, 62, 138, 0
21, 60, 160, 0
22, 70, 90, 1
23, 75, 97, 0
24, 69, 122, 0
25, 73, 106, 0
26, 91, 110, 0
27, 75, 84, 0
28, 86, 89, 1
29, 65, 147, 0

DD PSP Mutation GA Run, Best Fitness, Generations, Time
0, 97, 78, 0
1, 92, 84, 0
2, 83, 140, 0
3, 117, 78, 1
4, 83, 113, 0
5, 82, 101, 0
6, 115, 42, 0
7, 68, 124, 0
8, 155, 78, 0
9, 107, 109, 1
10, 99, 69, 0
11, 95, 104, 0
12, 83, 148, 0
13, 95, 62, 0
14, 141, 52, 0
15, 118, 90, 1
16, 106, 94, 0
17, 96, 108, 0
18, 109, 142, 0
19, 126, 45, 0
20, 91, 95, 0
21, 86, 117, 1
22, 107, 74, 0
23, 103, 130, 0
24, 147, 83, 0
25, 99, 111, 0
26, 90, 128, 1
27, 93, 189, 0
28, 80, 95, 0
29, 125, 70, 0

Best Overall (greedy): 48 | Average Best: 48 | Valid trees found: 30 | Runs: 30 | Time: 0
